"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"ruler_1cm";16;"ruler_1cm";;;
2;"REF**,REF**,REF**,REF**";"ruler_1cm_B";4;"ruler_1cm_B";;;
3;"Batt1";"Batt_cr2032_SMD";1;"Batt_cr2032";;;
4;"BZ1";"MagneticBuzzer_ProSignal_ABT-410-RC";1;"Buzzer";;;
5;"D1";"LED_WS2812B-PLCC4";1;"WS2812B";;;
6;"J1";"AVR-ISP-6-TH";1;"AVR-ISP-6";;;
7;"R1";"R_0603_HandSoldering";1;"R";;;
8;"SW1,SW2,SW3,SW4";"SW_ali_4x4x0.8";4;"SW_Push";;;
9;"U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"ATtiny13V-10SSU";;;
10;"J2,J3";"4_pin_conn_SMD";2;"Conn_01x04_Female";;;
11;"G***";"ITI";1;"LOGO";;;
